cole_area_ubicacion,cole_bilingue,edad_presentacion,estu_genero,fami_educacionmadre_cod,fami_educacionpadre_cod,fami_estratovivienda,fami_personashogar,fami_tienecomputador,fami_tieneinternet,punt_total
URBANO,S,18,F,12,10,Estrato 5,5 a 6,Si,Si,300
URBANO,No se sabe,18,M,10,10,Estrato 6,3 a 4,Si,Si,400
URBANO,S,20,F,10,10,Estrato 6,3 a 4,Si,Si,340
URBANO,S,18,M,3,3,Estrato 5,3 a 4,Si,Si,320
URBANO,S,20,F,10,10,Estrato 6,5 a 6,Si,Si,340
URBANO,No se sabe,20,F,12,12,Estrato 5,5 a 6,Si,Si,320
URBANO,S,20,M,10,10,Estrato 5,5 a 6,Si,Si,340
URBANO,S,18,M,12,12,Estrato 4,7 a 8,Si,Si,440
URBANO,S,20,F,10,10,Estrato 4,3 a 4,Si,Si,320
URBANO,S,20,F,12,12,Estrato 6,3 a 4,Si,Si,300
URBANO,S,18,M,12,10,Estrato 6,3 a 4,Si,Si,400
URBANO,S,20,F,10,10,Estrato 6,3 a 4,Si,Si,320
RURAL,No se sabe,18,F,10,7,Estrato 4,3 a 4,Si,Si,320
URBANO,S,20,F,10,10,Estrato 6,3 a 4,Si,Si,320
URBANO,S,18,F,10,10,Estrato 6,3 a 4,Si,Si,320
URBANO,S,20,F,12,12,Estrato 6,3 a 4,Si,Si,400
URBANO,S,20,M,10,12,Estrato 4,3 a 4,Si,Si,300
URBANO,S,20,M,10,12,Estrato 6,3 a 4,Si,Si,360
URBANO,N,20,M,10,10,Estrato 3,3 a 4,Si,Si,360
URBANO,No se sabe,18,F,10,10,Estrato 4,5 a 6,Si,Si,380
RURAL,No se sabe,18,F,12,12,Estrato 6,3 a 4,Si,Si,320
URBANO,N,18,F,10,10,Estrato 4,5 a 6,Si,Si,340
URBANO,No se sabe,18,M,10,6,Estrato 4,3 a 4,Si,Si,400
RURAL,No se sabe,20,F,12,12,Estrato 6,5 a 6,Si,Si,400
URBANO,No se sabe,18,F,12,10,Estrato 6,3 a 4,Si,Si,300
URBANO,S,18,M,12,12,Estrato 6,7 a 8,Si,Si,300
URBANO,No se sabe,18,M,8,8,Estrato 4,3 a 4,Si,Si,340
URBANO,No se sabe,18,M,12,12,Estrato 6,3 a 4,Si,Si,240
